序号	产品内编	PI名建议	产品线	产品外观	新商品编码	报关名称	成分	退税税率	监管条件	检验检疫		
1	F-380-1		研发三部	黄色透明液体	3402420000	吸湿排汗整理剂	柔软吸湿排汗整理剂9016-88-0：90％+水：10％	13%			OK	
2	CF992C		研发一部	黄色液体（久置外观会变浅）	3402420000	吸湿排汗整理剂	柔软吸湿排汗整理剂9016-88-0：80％+水：20％	13%			OK	
3	CF463		研发三部	深黄色透明至不透明粘液（25℃）（低温不透）	3403910000	纺织柔软剂	亲水软油68153-35-5：95％+水：5％	13%	无		OK	
4	CF761		研发三部	米白色片状物	3402410000	阳离子柔软剂	软片67701-03-5：95％+水：5％	13%	无			
5	CF934C		研发一部	黄色粘液（久置外观会变浅）	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂9016-88-0：90％+水：10％	13%			OK	
6	CF1107		研发三部	黄色不透明液体	3403910000	纺织柔软剂	亲水软油68153-35-5：95％+水：5％					
7	CF357B		研发三部	黄色糊状粘液	3403910000	纺织柔软剂	亲水软油 68153-35-5：80％+水：20％					
8	CF646		研发三部	浅黄色片状物	3402410000	阳离子柔软剂	阳离子柔软剂：80％+脂肪醇聚氧乙烯醚：20％					
9	K68 		研发一部	米白色不透明粘液（久置会变粘）	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂：90％+水：10％	13%			OK	
	K68-R		研发一部	米白色不透明粘液（久置会变粘）	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂：20％+水：80％	13%			OK	
11	F-130D		研发三部	白色粘稠液		阳离子柔软剂	软片：95％+水：5％					
12	F-92D		研发三部	淡黄色不透明液体	3403910000	纺织柔软剂	亲水软油：95％+水：5％					
13	CF995		研发三部	白色片状固体	3402410000	阳离子柔软剂	阳离子柔软剂：80％+脂肪醇聚氧乙烯醚：20％					
14	CF1113		研发三部	黄色糊状粘液	3403910000	纺织柔软剂	亲水软油：95％+水：5％					
15	CF140C		研发三部	无色透明粘液	2905450000	丙三醇	甘油：95％+水：5％	13%	A:入境货物通关单	R:进口食品卫生监督检验	OK	
16	CF261		研发一部	无色透明粘液（低温变朦）	3402900000	非离子有机表面活性剂	表面活性剂9043-30-5：95％+水：5％	13%			OK	
17	GY-628		研发一部	无色透明液体	3402900000	吸湿排汗整理剂	表面活性剂9043-30-5：95％+水：5％	13%			OK	
18	F-802B		研发三部	乳白色粘稠液体（久置会分层，使用前搅拌均匀）	3403910000	非离子有机表面活性剂	非离子表面活性剂：95%+水：5%	13%			OK	
19	HM158		研发三部	无色至微黄色透明液体	3403910000	纺织柔软剂	聚二甲基硅氧烷（硅油）50%  9016-00-6，非离子乳化剂 10% 68213-23-0，水 40% 7732-18-5					
20	CF141K		研发一部	米白色至浅黄色块状物	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂：90％+水：10％	13%			OK	
21	K68-PAC		研发一部	白色不透明粘液（久置会变粘）	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂：90％+水：10％	13%			OK	
